,5,10,20,30,40,50,60,70,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACNE,13.3,22.9,43.1,64.8,88.0,112.7,112.7,112.7,112.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACPL,9.6,20.8,40.1,55.1,66.0,72.6,75.1,75.1,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACRU,7.6,12.8,29.1,53.2,53.2,53.2,53.2,53.2,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA1,12.6,25.0,50.6,77.4,105.3,105.3,105.3,105.3,105.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSA2,10.8,18.4,33.7,49.3,65.1,81.1,97.3,113.8,113.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEOC,12.8,22.9,42.0,59.9,76.5,91.8,105.8,118.6,118.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRAM,11.4,21.0,42.2,66.1,92.6,92.6,92.6,92.6,92.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRPE,8.9,19.9,40.0,57.9,73.4,86.5,97.4,105.9,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIBI,9.3,15.1,26.8,38.5,50.3,62.1,62.2,62.2,62.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLTR,11.5,22.4,51.8,51.8,51.8,51.8,51.9,51.9,51.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA2,5.3,11.0,23.6,37.7,53.3,53.3,53.3,53.4,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PICO5,4.0,12.5,26.2,35.5,35.6,35.6,35.6,35.6,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINI,10.0,16.6,29.6,42.1,54.3,66.0,66.0,66.0,66.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIPO,9.9,16.3,27.8,38.0,46.8,54.2,60.2,64.8,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUPA,8.6,16.0,35.1,59.5,89.5,89.5,89.5,89.5,89.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QURU,9.3,17.3,31.8,44.5,55.2,64.1,64.1,64.1,64.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIAM,10.4,15.1,26.2,39.5,54.9,72.5,92.2,114.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TICO,14.2,26.3,49.5,71.4,71.4,71.4,71.5,71.5,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULAM,14.0,20.6,33.4,45.7,57.5,68.7,79.4,89.6,99.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULPU,14.6,24.1,42.3,59.2,74.9,89.4,102.7,114.7,114.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILOP,5.5,9.5,17.9,27.1,37.1,37.1,37.1,37.1,37.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGR,7.4,13.9,28.1,43.7,60.8,79.3,99.3,120.8,120.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUNI,10.3,20.3,39.7,57.9,75.1,75.1,75.1,75.1,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDL OTHER,8.9,19.9,40.0,57.9,73.4,86.5,97.4,105.9,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDM OTHER,9.6,20.8,40.1,55.1,66.0,72.6,75.1,75.1,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDS OTHER,5.3,11.0,23.6,37.7,53.3,53.3,53.3,53.4,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEL OTHER,9.9,16.3,27.8,38.0,46.8,54.2,60.2,64.8,68.0,,,,,,,,,,,,,,,,,,,,df,SS,MS,F,Significance F,,,
CEM OTHER,10.0,16.6,29.6,42.1,54.3,66.0,66.0,66.0,66.1,,,,,,,,,,,,,,,,,,,Regression,1,36007.694675803,36007.694675803,119.2886777493,0.0003990829,,
CES OTHER,4.0,12.5,26.2,35.5,35.6,35.6,35.6,35.6,35.6,,,,,,,,,,,,,,,,,,,Residual,4,1207.4136575303,301.8534143826,,,,
BEL OTHER,10.3,20.3,39.7,57.9,75.1,75.1,75.1,75.1,75.1,,,,,,,,,,,,,,,,,,,Total,5,37215.1083333333,,,,,
BEM OTHER,7.4,13.9,28.1,43.7,60.8,79.3,99.3,120.8,120.8,,,,,,,,,,,,,,,,,,,,,,,,,,
BES OTHER,5.5,9.5,17.9,27.1,37.1,37.1,37.1,37.1,37.1,,,,,,,,,,,,,,,,,,,,Coefficients,Standard Error,t Stat,P-value,Lower 95%,Upper 95%,Lower 95.0%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,256.0993794742,-21.2993794742,,,,,,
