SpeciesCode,ScientificName,CommonName,TreeType,SppValueAssignment,Compatibility Names,,1,A,Hydro interception,,,,,copied from
ACPL,Acer platanoides,Norway maple,BDL,ACPL,0.00,,2,B,Property Value,,,,,
ACRU,Acer rubrum,Red maple,BDM,ACRU,0.00,x,3,C,AQ Ozone dep,,,,,
ACSA1,Acer saccharinum,Silver maple,BDL,ACSA1,0.00,x,4,D,AQ NOx dep,,,,,
ACSA2,Acer saccharum,Sugar maple,BDL,ACSA2,0.00,x,5,E,AQ PM10 dep,,,,,
AEHI,Aesculus hippocastanum,Horsechestnut,BDL,AEHI,0.00,n/a,6,F,AQ SOx dep,,,,,
BUCA,Butia capitata,Jelly palm,PES,BUCA,0.00,x,7,G,AQ NOx avoided,,,,,
FRPE,Fraxinus pennsylvanica,Green ash,BDL,FRPE,0.00,x,8,H,AQ PM10 avoided,,,,,
GIBI,Ginkgo biloba,Ginkgo,BDL,GIBI,0.00,x,9,I,AQ VOC avoided,net (avoided-emissions),,,,
GLTR,Gleditsia triacanthos,Honeylocust,BDL,GLTR,0.00,n/a,10,J,AQ SOx avoided,,,,,
ILOP,Ilex opaca,American holly,BES,ILOP,0.00,,11,K,CO2 sequestered,net (sequestered-release-program),,,,
JUVI,Juniperus virginiana,Eastern red cedar,CEM,JUVI,0.00,x,12,L,CO2 avoided,,,,,
LIST,Liquidambar styraciflua,Sweetgum,BDL,LIST,0.00,,13,M,Natural Gas,,,,,
MA2,Malus sp.,Apple,BDS,MA2,0.00,x,14,N,Electricity,,,,,
MAGR,Magnolia grandiflora,Southern magnolia,BEM,MAGR,0.00,x,15,O,LSA,,,,,
PHCA,Phoenix canariensis,Canary island date palm,PEL,PHCA,0.00,,16,P,DBH BY AGE CLASS,,,,,
PICO5,Pinus contorta var. bolanderi,Bolander beach pine,CES,PICO5,0.00,,17,Q,Numbers,,,,,
PIST,Pinus strobus,Eastern white pine,CEL,PIST,0.00,,,R,Species Codes,,,,,
PLAC,Platanus hybrida,London planetree,BDL,PLAC,0.00,,,S,Interpolation range,,,,,
PRSE2,Prunus serrulata,Kwanzan cherry,BDS,PRSE2,0.00,,,,,,,,,
PYCA,Pyrus calleryana,Callery pear,BDS,PYCA,0.00,,,,,,,,,
QUPA,Quercus palustris,Pin oak,BDL,QUPA,0.00,,,,,,,,,
QUPH,Quercus phellos,Willow oak,BDL,QUPH,0.00,,,,,,,,,
QURU,Quercus rubra,Northern red oak,BDL,QURU,0.00,,,,,,,,,
SAPA,Sabal palmetto,Cabbage palmetto,PEM,SAPA,0.00,,,,,,,,,
TICO,Tilia cordata,Littleleaf linden,BDM,TICO,0.00,,,,,,,,,
TITO,Tilia tomentosa,Silver linden,BDL,TITO,0.00,,,,,,,,,
ULAM,Ulmus americana,American elm,BDL,ULAM,0.00,,,,,,,,,
ULPA99,Ulmus parvifolia evergreen,Chinese elm evergreen,BEL,ULPA99,0.00,,,,,,,,,
ZESE,Zelkova serrata,Japanese zelkova,BDL,ZESE,0.00,,,,,,,,,
BDL OTHER,Broadleaf Deciduous Large Other,BDL OTHER,BDL,ZESE,0.00,,,,,,,,,
BDM OTHER,Broadleaf Deciduous Medium Other,BDM OTHER,BDM,ACRU,0.00,,,,,,,,,
BDS OTHER,Broadleaf Deciduous Small Other,BDS OTHER,BDS,PRSE2,0.00,,,,,,,,,
CEL OTHER,Conifer Evergreen Large Other,CEL OTHER,CEL,PIST,0.00,,,,,,,,,
CEM OTHER,Conifer Evergreen Medium Other,CEM OTHER,CEM,JUVI,0.00,,,,,,,,,
CES OTHER,Conifer Evergreen Small Other,CES OTHER,CES,PICO5,0.00,,,,,,,,,
BEL OTHER,Broadleaf Evergreen Large Other,BEL OTHER,BEL,ULPA99,0.00,,,,,,,,,
BEM OTHER,Broadleaf Evergreen Medium Other,BEM OTHER,BEM,MAGR,0.00,,,,,,,,,
BES OTHER,Broadleaf Evergreen Small Other,BES OTHER,BES,ILOP,0.00,,,,,,,,,
PEL OTHER,Palm Evergreen Large Other,PEL OTHER,PEL,PHCA,0.00,,,,,,,,,
PEM OTHER,Palm Evergreen Medium Other,PEM OTHER,PEM,SAPA,0.00,,,,,,,,,
PES OTHER,Palm Evergreen Small Other,PES OTHER,PES,BUCA,0.00,,,,,,,,,
